gene_symbol,gs_name,gs_subcat,human_gene_symbol,logFC,AveExpr,adj.P.Val,threshold
CG16790,GO_3_5_EXONUCLEASE_ACTIVITY,MF,USB1,1.04442318837689,7.73504286491373,0.00426068419142162,Increase
CG9149,GO_ACETYLTRANSFERASE_ACTIVITY,MF,ACAT2,1.19659918309213,8.7138932134705,0.00111035624683261,Increase
Clk,GO_ACETYLTRANSFERASE_ACTIVITY,MF,CLOCK,1.38212945383136,5.25031651060861,0.000740195593871859,Increase
Rala,GO_ACTIN_CYTOSKELETON_REORGANIZATION,BP,RALA,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Rala,GO_ACTIN_FILAMENT_BASED_PROCESS,BP,RALA,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
CG3822,GO_ACTION_POTENTIAL,BP,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG5144,GO_ADENYL_NUCLEOTIDE_BINDING,MF,CKMT1A,1.05615221760388,5.2649885887739,0.0162270546202803,Increase
CG5144,GO_ADENYL_NUCLEOTIDE_BINDING,MF,CKMT1B,1.05615221760388,5.2649885887739,0.0162270546202803,Increase
CG5144,GO_ADENYL_NUCLEOTIDE_BINDING,MF,CKMT2,1.05615221760388,5.2649885887739,0.0162270546202803,Increase
UQCR-11,GO_AEROBIC_RESPIRATION,BP,UQCRH,1.59508097153468,5.6421013413015,0.00590350898526536,Increase
CG31235,GO_ALCOHOL_DEHYDROGENASE_NADP_ACTIVITY,MF,RDH14,1.57068216405216,6.544556162751,0.00600388681213686,Increase
CG31235,GO_ALCOHOL_METABOLIC_PROCESS,BP,RDH14,1.57068216405216,6.544556162751,0.00600388681213686,Increase
CG31235,GO_ALDO_KETO_REDUCTASE_NADP_ACTIVITY,MF,RDH14,1.57068216405216,6.544556162751,0.00600388681213686,Increase
CG5493,GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS,BP,CDO1,2.11410991076965,8.98000200413129,6.55267426057803e-05,Increase
CG5493,GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS,BP,CDO1,2.11410991076965,8.98000200413129,6.55267426057803e-05,Increase
CG5144,GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS,BP,CKMT1A,1.05615221760388,5.2649885887739,0.0162270546202803,Increase
CG5144,GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS,BP,CKMT1B,1.05615221760388,5.2649885887739,0.0162270546202803,Increase
CG5144,GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS,BP,CKMT2,1.05615221760388,5.2649885887739,0.0162270546202803,Increase
CG13032,GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,BP,CCDC13,3.48267781670936,6.08377696748961,1.69144814932207e-05,Increase
Rala,GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,BP,RALA,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
CG3259,GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,BP,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
Rala,GO_ANCHORING_JUNCTION,CC,RALA,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
CG3259,GO_APPENDAGE_DEVELOPMENT,BP,TRAF3IP1,1.30230971447697,5.96541638879442,0.000250755752654363,Increase
Rala,GO_ATPASE_BINDING,MF,RALA,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Rala,GO_ATPASE_BINDING,MF,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
Rala,GO_AUTOPHAGOSOME,CC,RALB,2.69587805765964,6.98999431259953,3.15255298020027e-05,Increase
CG3822,GO_AXON,CC,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG3822,GO_AXON,CC,GRIK5,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
CG3822,GO_AXON_PART,CC,GRIK2,2.54402812199207,5.77499713839045,0.000179633802360904,Increase
