gene_symbol,gs_name,gs_subcat,human_gene_symbol,logFC,AveExpr,adj.P.Val,threshold
Ppcs,GO_ACID_AMINO_ACID_LIGASE_ACTIVITY,MF,PPCS,-1.61011487752233,6.94716063816292,0.000285570455680222,Decrease
Spn42De,GO_ACROSOMAL_MEMBRANE,CC,SERPINA5,-1.70626933694116,6.72258926767906,0.00302827236563671,Decrease
LysX,GO_ACROSOMAL_MEMBRANE,CC,SPACA3,-2.41802232930625,6.59446895007203,3.23075516845e-05,Decrease
Spn42De,GO_ACROSOMAL_VESICLE,CC,SERPINA5,-1.70626933694116,6.72258926767906,0.00302827236563671,Decrease
LysX,GO_ACROSOMAL_VESICLE,CC,SPACA3,-2.41802232930625,6.59446895007203,3.23075516845e-05,Decrease
Calx,GO_ACTION_POTENTIAL,BP,SLC8A1,-1.13996009221437,7.02903925635942,0.00686072959753687,Decrease
wnd,GO_ACTIVATION_OF_MAPKK_ACTIVITY,BP,MAP3K12,-1.5483686355685,9.93155290277065,3.15255298020027e-05,Decrease
wnd,GO_ACTIVATION_OF_MAPKK_ACTIVITY,BP,MAP3K13,-1.5483686355685,9.93155290277065,3.15255298020027e-05,Decrease
wnd,GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY,BP,MAP3K12,-1.5483686355685,9.93155290277065,3.15255298020027e-05,Decrease
wnd,GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY,BP,MAP3K13,-1.5483686355685,9.93155290277065,3.15255298020027e-05,Decrease
Aplip1,GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY,BP,MAPK8IP2,-1.82597727862155,7.26695110851571,0.000785279660451541,Decrease
Calx,GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,MF,SLC8A1,-1.13996009221437,7.02903925635942,0.00686072959753687,Decrease
Calx,GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,MF,SLC8A2,-1.13996009221437,7.02903925635942,0.00686072959753687,Decrease
Calx,GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,MF,SLC8A3,-1.13996009221437,7.02903925635942,0.00686072959753687,Decrease
slif,GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,MF,SLC7A3,-1.07145893537957,8.50384017772997,0.0409515079934536,Decrease
Calx,GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,MF,SLC8A1,-1.13996009221437,7.02903925635942,0.00686072959753687,Decrease
Calx,GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,MF,SLC8A2,-1.13996009221437,7.02903925635942,0.00686072959753687,Decrease
Calx,GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,MF,SLC8A3,-1.13996009221437,7.02903925635942,0.00686072959753687,Decrease
Spn42De,GO_ACUTE_INFLAMMATORY_RESPONSE,BP,SERPINA1,-1.70626933694116,6.72258926767906,0.00302827236563671,Decrease
Spn42De,GO_ACUTE_INFLAMMATORY_RESPONSE,BP,SERPINA3,-1.70626933694116,6.72258926767906,0.00302827236563671,Decrease
Spn42De,GO_ACUTE_PHASE_RESPONSE,BP,SERPINA1,-1.70626933694116,6.72258926767906,0.00302827236563671,Decrease
Spn42De,GO_ACUTE_PHASE_RESPONSE,BP,SERPINA3,-1.70626933694116,6.72258926767906,0.00302827236563671,Decrease
CG4080,GO_ADAPTIVE_IMMUNE_RESPONSE,BP,MARCH8,-1.01117370959371,8.37964012537122,0.0122268600119245,Decrease
Eip63E,GO_ADENYL_NUCLEOTIDE_BINDING,MF,CDK14,-2.3419538425463,9.36197283316281,0.00012156951848766,Decrease
Eip63E,GO_ADENYL_NUCLEOTIDE_BINDING,MF,CDK15,-2.3419538425463,9.36197283316281,0.00012156951848766,Decrease
wnd,GO_ADENYL_NUCLEOTIDE_BINDING,MF,MAP3K12,-1.5483686355685,9.93155290277065,3.15255298020027e-05,Decrease
wnd,GO_ADENYL_NUCLEOTIDE_BINDING,MF,MAP3K13,-1.5483686355685,9.93155290277065,3.15255298020027e-05,Decrease
CG10424,GO_ADENYL_NUCLEOTIDE_BINDING,MF,NAXD,-1.39606417442212,7.99962027206309,0.000227753516309334,Decrease
Spn42De,GO_AGING,BP,SERPINE1,-1.70626933694116,6.72258926767906,0.00302827236563671,Decrease
Spn42De,GO_ALCOHOL_BINDING,MF,SERPINA5,-1.70626933694116,6.72258926767906,0.00302827236563671,Decrease
CG6910,GO_ALCOHOL_CATABOLIC_PROCESS,BP,MIOX,-1.03727903123513,4.90918477859436,0.0235776831059059,Decrease
CG6910,GO_ALCOHOL_METABOLIC_PROCESS,BP,MIOX,-1.03727903123513,4.90918477859436,0.0235776831059059,Decrease
CG6910,GO_ALDO_KETO_REDUCTASE_NADP_ACTIVITY,MF,MIOX,-1.03727903123513,4.90918477859436,0.0235776831059059,Decrease
CG10424,GO_ALKALOID_METABOLIC_PROCESS,BP,NAXD,-1.39606417442212,7.99962027206309,0.000227753516309334,Decrease
GstZ1,GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS,BP,GSTZ1,-1.01639678529794,7.3986406988768,0.0278670308713072,Decrease
GstZ1,GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS,BP,GSTZ1,-1.01639678529794,7.3986406988768,0.0278670308713072,Decrease
Aplip1,GO_AMIDE_BINDING,MF,MAPK8IP2,-1.82597727862155,7.26695110851571,0.000785279660451541,Decrease
CG17636,GO_AMIDE_BIOSYNTHETIC_PROCESS,BP,GGT2,-1.30481747555489,6.07870877360522,0.000988635260535554,Decrease
slif,GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,BP,SLC7A3,-1.07145893537957,8.50384017772997,0.0409515079934536,Decrease
slif,GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,MF,SLC7A3,-1.07145893537957,8.50384017772997,0.0409515079934536,Decrease
slif,GO_AMINO_ACID_TRANSPORT,BP,SLC7A3,-1.07145893537957,8.50384017772997,0.0409515079934536,Decrease
sfl,GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS,BP,NDST1,-1.41321171598513,7.81970537659184,0.0209415008506109,Decrease
sfl,GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS,BP,NDST2,-1.41321171598513,7.81970537659184,0.0209415008506109,Decrease
sfl,GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS,BP,NDST3,-1.41321171598513,7.81970537659184,0.0209415008506109,Decrease
sfl,GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS,BP,NDST4,-1.41321171598513,7.81970537659184,0.0209415008506109,Decrease
LysX,GO_AMINOGLYCAN_CATABOLIC_PROCESS,BP,SPACA3,-2.41802232930625,6.59446895007203,3.23075516845e-05,Decrease
sfl,GO_AMINOGLYCAN_METABOLIC_PROCESS,BP,NDST1,-1.41321171598513,7.81970537659184,0.0209415008506109,Decrease
sfl,GO_AMINOGLYCAN_METABOLIC_PROCESS,BP,NDST2,-1.41321171598513,7.81970537659184,0.0209415008506109,Decrease
sfl,GO_AMINOGLYCAN_METABOLIC_PROCESS,BP,NDST3,-1.41321171598513,7.81970537659184,0.0209415008506109,Decrease
sfl,GO_AMINOGLYCAN_METABOLIC_PROCESS,BP,NDST4,-1.41321171598513,7.81970537659184,0.0209415008506109,Decrease
LysX,GO_AMINOGLYCAN_METABOLIC_PROCESS,BP,SPACA3,-2.41802232930625,6.59446895007203,3.23075516845e-05,Decrease
Spn42De,GO_AMMONIUM_ION_BINDING,MF,SERPINA5,-1.70626933694116,6.72258926767906,0.00302827236563671,Decrease
Spn42De,GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,BP,SERPINE1,-1.70626933694116,6.72258926767906,0.00302827236563671,Decrease
Spn42De,GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS,BP,SERPINA3,-1.70626933694116,6.72258926767906,0.00302827236563671,Decrease
CG17636,GO_ANCHORED_COMPONENT_OF_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE,CC,GGT2,-1.30481747555489,6.07870877360522,0.000988635260535554,Decrease
CG17636,GO_ANCHORED_COMPONENT_OF_MEMBRANE,CC,GGT2,-1.30481747555489,6.07870877360522,0.000988635260535554,Decrease
